"Code","Heading","V2.1"
"YFHR","Fantasy romance (Teenage)","New"
"YFJ","Traditional stories (Children's / Teenage)","Mod"
"YFM","Romance & relationships stories (Children's / Teenage)","Mod"
"YFN","Family & home stories (Children's / Teenage)","Mod"
"YFP","Animal stories (Children's / Teenage)","Mod"
"YFQ","Humorous stories (Children's / Teenage)","Mod"
"YFR","Sporting stories (Children's / Teenage)","Mod"
"YFS","School stories (Children's / Teenage)","Mod"
"YFT","Historical fiction (Children's / Teenage)","Mod"
"YFU","Short stories (Children's / Teenage)","Mod"
"YFW","Comic strip fiction / graphic novels (Children's / Teenage)","Mod"
"YFY","True stories (Children's / Teenage)","Mod"
"YN","Children's / Teenage: general non-fiction","Mod"
"YNA","Art: general interest (Children's / Teenage)","Mod"
"YNC","Music: general interest (Children's / Teenage)","Mod"
"YNCP","Pop music (Children's / Teenage)","Mod"
"YND","Drama & performing (Children's / Teenage)","Mod"
"YNDB","Dance, ballet (Children's / Teenage)","Mod"
"YNDS","Playscripts (Children's / Teenage)","Mod"
"YNF","Television & film (Children's / Teenage)","Mod"
"YNG","General knowledge & trivia (Children's / Teenage)","Mod"
"YNGL","Libraries, museums, schools (Children's / Teenage)","Mod"
"YNH","History & the past: general interest (Children's / Teenage)","Mod"
"YNJ","Warfare, battles, armed forces (Children's / Teenage)","Mod"
"YNK","Work & industry / world of work (Children's / Teenage)","Mod"
"YNL","Literature, books & writers (Children’s/Teenage)","New"
"YNM","People & places (Children's / Teenage)","Mod"
"YNN","Natural history (Children’s/Teenage)","Mod"
"YNNA","Dinosaurs & prehistoric world (Children's / Teenage)","Mod"
"YNND","Pets (Children's / Teenage)","Mod"
"YNNF","Farm animals (Children's / Teenage)","Mod"
"YNNR","Wildlife (Children's / Teenage)","Mod"
"YNP","Practical interests (Children's / Teenage)","Mod"
"YNPC","Cooking & food (Children's / Teenage)","Mod"
"YNPG","Gardening (Children's / Teenage)","Mod"
"YNPH","Handicrafts (Children's / Teenage)","Mod"
"YNPK","Money (Children's / Teenage)","Mod"
"YNR","Religion & beliefs: general interest (Children's / Teenage)","Mod"
"YNRB","Bibles & bible stories (Children's / Teenage)","Mod"
"YNT","Science & technology: general interest (Children's / Teenage)","Mod"
"YNTB","Buildings & construction (Children's / Teenage)","Mod"
"YNTR","Transport (Children's / Teenage)","Mod"
"YNTS","Space (Children's / Teenage)","Mod"
"YNU","Humour & jokes (Children's / Teenage)","Mod"
"YNUC","Cartoons & comic strips (Children's / Teenage)","Mod"
"YNV","Hobbies, quizzes & games (Children's / Teenage)","Mod"
"YNVP","Puzzle books (Children's / Teenage)","Mod"
"YNVU","Computer game guides (Children's / Teenage)","Mod"
"YNW","Sports & outdoor recreation (Children's / Teenage)","Mod"
"YNWA","Football / soccer (Children's / Teenage)","Mod"
"YNWB","Rugby (Children's / Teenage)","Mod"
"YNWC","Cricket (Children's / Teenage)","Mod"
"YNWG","Athletics & gymnastics (Children's / Teenage)","Mod"
"YNWW","Swimming & water sports (Children's / Teenage)","Mod"
"YNWY","Cycling, boarding & skating (Children's / Teenage)","Mod"
"YNX","Mysteries, the supernatural, monsters & mythological beings (Children’s/Teenage)","Mod"
"YNXF","UFOs & extraterrestrial beings (Children's / Teenage)","Mod"
"YNXW","Witches & ghosts (Children's / Teenage)","Mod"
"YQ","Educational material",
"YQA","Educational: Art & design",
"YQB","Educational: Music",
"YQC","Educational: English language & literacy",
"YQCR","Educational: English language: readers & reading schemes",
"YQCR5","Educational: English language: readers & reading schemes: Synthetic Phonics","New"
"YQCS","Educational: English language: reading & writing skills",
"YQCS1","Educational: writing skills: handwriting",
"YQCS5","Educational: English language: reading skills: Synthetic Phonics","New"
"YQD","Educational: drama studies","New"
"YQE","Educational: English literature",
"YQEF","School editions of English literature fiction texts","Mod"
"YQES","School editions of Shakespeare","New"
"YQF","Educational: Languages other than English",
"YQFL","Educational: literature in languages other than English","New"
"YQG","Educational: Geography",
"YQH","Educational: History",
"YQJ","Educational: Social sciences","New"
"YQJP","Educational: Psychology","New"
"YQM","Educational: Mathematics & numeracy",
"YQMT","Educational: Mathematics & numeracy: times tables",
"YQN","Educational: Citizenship & social education",
"YQNP","Educational: Personal, social & health education (PSHE)",
"YQR","Educational: Religious studies",
"YQRA","Educational: school assembly resource material",
"YQRC","Educational: Religious studies: Christianity",
"YQRN","Educational: Religious studies: Non-Christian religions",
"YQRN1","Educational: Religious studies: Judaism",
"YQRN2","Educational: Religious studies: Islam",
"YQRN3","Educational: Religious studies: Hinduism",
"YQRN4","Educational: Religious studies: Buddhism",
"YQS","Educational: Sciences, general science",
"YQSB","Educational: Biology",
"YQSC","Educational: Chemistry",
"YQSP","Educational: Physics",
"YQT","Educational: Technology",
"YQTD","Educational: Design & technology",
"YQTF","Educational: Food technology",
"YQTU","Educational: IT & computing, ICT",
"YQV","Educational: Business studies & economics","Mod"
"YQW","Educational: Physical education (including dance)",
"YQX","Educational: General studies / study skills general",
"YQY","Educational: Vocational subjects","New"
"YQZ","Educational: study & revision guides",
"YR","Reference material (Children's / Teenage)","Mod"
"YRD","Dictionaries, school dictionaries (Children's / Teenage)","Mod"
"YRDC","Picture dictionaries (Children's / Teenage)","Mod"
"YRDL","Bilingual/multilingual dictionaries (Children's / Teenage)","Mod"
"YRE","Encyclopaedias (Children's / Teenage)","Mod"
"YRG","Reference works (Children's / Teenage)","Mod"
"YRW","Atlases & maps (Children’s/Teenage)","Mod"
"YX","Personal & social issues (Children's / Teenage)","Mod"
"YXA","Personal & social issues: body & health (Children's / Teenage)","Mod"
"YXAX","Personal & social issues: sex education & the facts of life (Children's / Teenage)","Mod"
"YXC","Personal & social issues: bullying, violence & abuse (Children's / Teenage)","Mod"
"YXF","Personal & social issues: family issues (Children's / Teenage)","Mod"
"YXFD","Personal & social issues: divorce, separation, family break-up (Children's / Teenage)","Mod"
"YXFM","Personal & social issues: siblings (Children's / Teenage)","Mod"
"YXFT","Personal & social issues: teenage pregnancy (Children's / Teenage)","Mod"
"YXG","Personal & social issues: death & bereavement (Children's / Teenage)","Mod"
"YXJ","Personal & social issues: drugs & addiction (Children's / Teenage)","Mod"
"YXK","Personal & social issues: disability & special needs (Children's / Teenage)","Mod"
"YXL","Personal & social issues: self-awareness & self-esteem (Children's / Teenage)","Mod"
"YXN","Personal & social issues: racism & multiculturalism (Children's / Teenage)","Mod"
"YXS","Personal & social issues: sexuality & relationships (Children's / Teenage)","Mod"
"YXT","Personal & social issues: truancy & school problems (Children's / Teenage)","Mod"
"YXV","Personal & social issues: careers guidance (Teenage)","New"
"YXZ","Social issues (Children's / Teenage)","Mod"
"YXZG","Social issues: environment & green issues (Children's / Teenage)","Mod"
"YXZR","Social issues: religious issues (Children's / Teenage)","Mod"
"YXZW","Social issues: war & conflict issues (Children's / Teenage)","Mod"
"YZ","Stationery & miscellaneous items (Children's / Teenage)","Mod"
